Question/Topic,Answer,Category,Example Customer Questions
Return period,Customers can request a return within 30 days of delivery.,Returns,How long do I have to return an item?; Can I return something after 3 weeks?
Return condition,"Items should be unused and in their original condition, with original packaging where applicable.",Returns,What condition does an item need to be in for a return?; Can I return an item I've used?
How to start a return,Provide the order ID and reason for the return through the support system.,Returns,How do I start a return?; I want to return my order. What do I do?
Return approval,Northstar reviews the request and provides return instructions if the request is eligible.,Returns,How do I know if my return is approved?; Has my return request been approved?
Refund timing,"After the returned item is received and approved, the refund is initiated within 3–5 business days.",Refunds,When will I get my refund?; How long does a refund take?
Refund arrival,The time for the refund to appear depends on the customer's payment method or provider.,Refunds,When will the refund show in my account?; Why haven't I received my refund yet?
Damaged item,Report damaged items as soon as possible and provide the order ID and relevant details.,Returns,My item arrived damaged. What should I do?; I received a damaged item.
Wrong item,Northstar reviews the order and arranges the appropriate return or replacement process.,Returns,I received the wrong item. What should I do?; You sent me the wrong product.
Non-returnable items,Items marked as non-returnable on the product listing are not eligible for standard returns.,Returns,Can I return this item?; Which items can't be returned?
Return shipping for damaged/wrong item,Northstar covers return shipping for damaged or incorrect items.,Returns,Do I have to pay to return a damaged item?; Who pays return shipping for the wrong item?
Return shipping for other returns,"For other eligible returns, the customer may be responsible for return shipping.",Returns,Do I have to pay return shipping?; Who pays for the return?
